Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_56.txt,2,0.00593,0 1 9 28 47 66 89 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_57.txt,4,0.00752,0 18 27 36 41 60 85 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_58.txt,1,0.00318,0 18 21 34 52 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_59.txt,2,0.00643,0 18 21 28 35 56 70 85 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_6.txt,2,0.00500,0 1 13 36 53 59 70 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_60.txt,2,0.00585,0 14 29 48 59 70 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_61.txt,2,0.00776,0 16 26 40 49 61 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_62.txt,3,0.00564,0 18 23 48 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_63.txt,1,0.00667,0 14 31 41 54 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_64.txt,2,0.00666,0 14 24 26 42 63 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_65.txt,1,0.00633,0 1 13 33 55 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_66.txt,3,0.00936,0 16 26 42 45 53 62 73 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_67.txt,1,0.00369,0 18 40 60 68 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_68.txt,5,0.00400,0 1 10 13 27 50 73 83 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_69.txt,1,0.00614,0 1 13 38 58 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_7.txt,3,0.00512,0 4 26 29 48 65 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_70.txt,0,0.00469,0 4 15 38 60 77 99 
