Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_56.txt,2,0.00285,0 1 9 28 47 66 89 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_57.txt,3,0.00472,0 18 37 58 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_58.txt,1,0.00256,0 18 21 34 52 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_59.txt,2,0.00406,0 18 21 28 35 56 70 85 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_6.txt,2,0.00273,0 1 13 36 53 59 70 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_60.txt,2,0.00288,0 14 29 48 59 70 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_61.txt,2,0.00210,0 16 26 40 49 61 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_62.txt,3,0.00216,0 18 23 48 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_63.txt,1,0.00678,0 14 31 41 54 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_64.txt,2,0.00464,0 14 24 26 42 63 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_65.txt,1,0.00614,0 1 13 33 55 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_66.txt,3,0.00366,0 16 26 42 45 53 62 73 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_67.txt,1,0.00183,0 18 40 60 68 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_68.txt,5,0.00331,0 1 10 13 27 50 73 83 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_69.txt,1,0.00342,0 1 13 38 58 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_7.txt,3,0.00386,0 4 26 29 48 65 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_70.txt,0,0.00212,0 4 15 38 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_71.txt,2,0.00199,0 16 37 51 61 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_72.txt,1,0.00316,0 14 39 50 64 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_73.txt,3,0.00305,0 18 21 41 63 64 87 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_74.txt,2,0.00423,0 4 22 27 50 51 64 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_75.txt,1,0.00441,0 16 31 41 62 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_76.txt,3,0.00402,0 18 23 42 66 90 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_77.txt,1,0.00182,0 14 38 60 85 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_78.txt,2,0.00200,0 4 6 13 36 53 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_79.txt,3,0.00389,0 18 21 24 49 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_8.txt,3,0.00306,0 16 37 60 85 92 99 
